Student;ID;SIS User ID;SIS Login ID;Section;Part 1: Multiple choice questions - January 2024 (Remotely Proctored) (473819);Part 2: Practice - January 2024 _ CORRECT VERSION(Remotely Proctored) (475074);Chaptertests Current Points (Zittijd januari en juni AJ 2023-2024);Chaptertests Final Points (Zittijd januari en juni AJ 2023-2024);Chaptertests Current Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Final Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Current Points (Zittijd januari en juni AJ 2023-2024);Imported Assignments Final Points (Zittijd januari en juni AJ 2023-2024);Imported Assignments Current Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Final Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Current Points (Zittijd januari en juni AJ 2023-2024);Test Proctorio Final Points (Zittijd januari en juni AJ 2023-2024);Test Proctorio Current Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Final Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Current Points (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Final Points (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Current Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Final Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Current Points (Zittijd januari en juni AJ 2023-2024);Final Points (Zittijd januari en juni AJ 2023-2024);Current Score (Zittijd januari en juni AJ 2023-2024);Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Final Score (Zittijd januari en juni AJ 2023-2024);Unposted Final Score (Zittijd januari en juni AJ 2023-2024)
;;;;;Manual Posting;Manual Posting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Points Possible;;;;;30.00;10.00;(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only);(read only)
LastName, FirstName 1;123;S_r00123;S_r00123@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);2.33;0.00;;N/A;;;;;;6.00;;;;;1.00;;8.00;1.00;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 2;124;S_r00124;S_r00124@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;8.33;;;3.00;13.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 3;125;S_r00125;S_r00125@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);2.63;0.00;;N/A;3.00;;;1.00;12.50;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 4;126;S_r00126;S_r00126@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);8.70;0.50;2.67;N/A;6.00;3.50;13.00;1.00;23.33;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 5;127;S_r00127;S_r00127@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);;;;N/A;;6.00;15.00;1.00;11.25;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 6;128;S_r00128;S_r00128@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);23.50;9.75;8.17;N/A;6.00;10.00;15.00;1.00;43.50;9.00;7.00;9.09;7.78;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 7;129;S_r00129;S_r00129@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);18.09;4.00;10.67;N/A;6.00;8.00;15.00;1.00;23.25;8.00;7.00;8.18;8.89;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 8;130;S_r00130;S_r00130@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);11.83;1.63;6.33;N/A;6.00;9.50;12.00;1.00;22.25;9.00;3.00;;4.44;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 9;131;S_r00131;S_r00131@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);13.53;1.63;3.00;N/A;4.00;1.00;15.00;1.00;24.50;3.00;;0.00;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 10;132;S_r00132;S_r00132@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);8.40;0.00;10.00;N/A;5.50;;14.00;1.00;16.17;3.00;2.00;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 11;133;S_r00133;S_r00133@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);5.80;0.00;2.83;N/A;2.50;4.00;7.00;1.00;10.83;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 12;134;S_r00134;S_r00134@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);;;11.00;N/A;6.00;11.00;15.00;1.00;17.25;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 13;135;S_r00135;S_r00135@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);19.00;6.00;6.33;N/A;5.50;4.00;14.00;1.00;34.50;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 14;136;S_r00136;S_r00136@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);4.76;0.00;11.33;N/A;5.50;6.50;11.00;1.00;10.33;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 15;137;S_r00137;S_r00137@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);6.40;0.00;9.33;N/A;;;;1.00;5.50;8.00;5.00;7.27;;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 16;138;S_r00138;S_r00138@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);9.10;0.00;5.00;N/A;4.50;;15.00;1.00;22.66;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 17;139;S_r00139;S_r00139@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);;;6.00;N/A;2.50;6.00;;;;;;;;;;;;;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 18;140;S_r00140;S_r00140@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);22.00;6.15;9.00;N/A;5.00;11.50;13.00;1.00;40.25;6.00;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 19;141;S_r00141;S_r00141@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);17.74;1.38;;N/A;3.00;7.00;;1.00;31.00;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 20;142;S_r00142;S_r00142@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 21;143;S_r00143;S_r00143@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);10.51;0.25;6.33;N/A;6.00;5.50;13.00;1.00;20.50;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 22;144;S_r00144;S_r00144@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);22.70;8.10;7.00;N/A;6.00;7.00;11.00;1.00;45.50;9.00;4.00;7.27;8.89;7.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 23;145;S_r00145;S_r00145@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);21.20;6.75;8.33;N/A;6.00;8.50;;1.00;29.25;5.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
